Route,admin,edit,org_auditor,rules_admin,superadmin,systemadmin,view,Protected
GET AgentAPIAgentRestController.onAgentConnection,,,,,,,,
GET AgentAPIAgentRestController.getAgentConfig,,,,,,,,
PUT AgentAPIAgentRestController.onAgentStartup,,,,,,,,
POST AgentAPIApplicationInventoryRestController.saveApplicationInventoryWithAppPath,,,,,,,,
POST AgentAPIApplicationInventoryRestController.saveApplicationInventory,,,,,,,,
POST AgentAPIApplicationsRestController.heartbeatWithAppPath,,,,,,,,
POST AgentAPIApplicationsRestController.heartbeat,,,,,,,,
GET AgentAPIRoutesRestController.saveRoutesObservedWithAppPath,,,,,,,,
GET AgentAPIRoutesRestController.saveRoutesObserved,,,,,,,,
POST AgentAPIServerInventoryRestController.saveServerInventory,,,,,,,,
GET AgentAPITelemetryRestController.telemetry,,,,,,,,
GET AgentAPIApplicationSettingsRestController.settings,,,,,,,,
GET AgentEffectiveConfigApi.storeEffectiveConfig,,,,,,,,
GET LibraryUsageRestController.saveLibraryUsageWithAppPath,,,,,,,,
GET LibraryUsageRestController.saveLibraryUsage,,,,,,,,
GET AgentAPIServersRestController.settings,,,,,,,,
POST AgentAPIVulnerabilitiesRestController.observedTraces,,,,,,,,
PUT NgServerlessUsersRestController.updateServerlessAccess,YES,,,,,,,YES
GET CloudNativeAPIRestController.getAccessTokenOrganization,,,,,,,,
POST CloudNativeProxyController.proxy,,,,,,,,
GET CloudNativeProxyController.proxy,,,,,,,,
GET RouteCoverageAnalyticsRestController.getCoverageRoutes,,,,,,,,
GET RouteCoverageAnalyticsRestController.getRouteCoverageSnapshots,,,,,,,,
DELETE RouteCoverageAnalyticsRestController.deleteAppRoutesCoverage,YES,,,,,,,YES
DELETE RouteCoverageAnalyticsRestController.deleteAppRoutesCoverageByFilters,YES,,,,,,,YES
GET RouteCoverageAnalyticsRestController.deleteRouteCoverageData,YES,,,,,,,YES
GET RouteCoverageAnalyticsRestController.getCoverageRoutesObservation,,,,,,,,
POST RouteCoverageAnalyticsRestController.exportRouteCoverageObservationsCSV,,,,,,,,
GET RouteCoverageAnalyticsRestController.getStatus,,,,,,,,
POST RouteCoverageAnalyticsRestController.exportToCSV,,,,,,,,
POST RouteCoverageAnalyticsRestController.bulkExportToCSV,,,,,,,,
POST RouteCoverageAnalyticsRestController.bulkFilterExportToCSV,,,,,,,,
